,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,new_addition,trending,github_release_downloads,monthly_downloads,updated_github_id
76,Picture-lytics,https://github.com/KimaruThagna/Picture-lytics,KimaruThagna/Picture-lytics,cv,True,https://github.com/KimaruThagna/Picture-lytics,,2020-04-25 12:32:03,2020-04-29 19:20:10,2020-04-29 19:14:09,4.0,,,8.0,21.0,,,,Using Google's teachable machine to generate an image classification model and serving the model via streamlit. The..,,,2.0,5,3,,,,,,
77,Text Insights,https://github.com/robmarkcole/text-insights-app,robmarkcole/text-insights-app,cv,True,https://github.com/robmarkcole/text-insights-app,Apache-2.0,2020-05-27 02:37:50,2021-03-30 03:29:59,2021-03-30 03:29:32,5.0,2.0,1.0,7.0,25.0,2021-03-30 03:29:59,0.1,1.0,"Upload an image of a document and extract text, names, facts and figures.",,,2.0,9,2,https://github.com/robmarkcole/text-insights-app/raw/master/assets/usage.jpg,,,,,
78,Gravitational Wave App,https://share.streamlit.io/jkanner/streamlit-dataview/app.py,jkanner/streamlit-dataview,sci-tech,True,https://github.com/jkanner/streamlit-dataview,,2020-07-22 21:10:35,2021-03-15 17:21:24,2021-03-15 17:21:20,8.0,2.0,2.0,7.0,42.0,,,,Streamlit viewer for GW data.,,,2.0,6,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fe3b32bb3d503528eac8707_image.jpg,,,,,
79,HTML Table Scraper,https://github.com/CharlyWargnier/python-html-table-scraper,CharlyWargnier/python-html-table-scraper,non-ml,True,https://github.com/CharlyWargnier/python-html-table-scraper,,2020-07-10 10:43:07,2021-03-31 19:47:18,2020-07-10 13:24:02,7.0,,,7.0,13.0,,,,A simple HTML table scraper made with Python and the amazing Streamlit!.,,,,6,3,,,,,,
80,Timeline,https://www.innerdoc.com/nlp-timeline-demo/,innerdoc/streamlit-timeline,extension,True,https://github.com/innerdoc/streamlit-timeline,MIT,2021-02-10 08:06:30,2021-02-10 09:52:31,2021-02-10 09:52:21,,,,7.0,,,,,A simple Streamlit Component to display a Timeline in Streamlit apps. It integrates Knightlab's TimelineJS.,1.0,1.0,2.0,5,3,https://github.com/innerdoc/streamlit-timeline/raw/main/example.png,True,,,,
81,Covid Tracking,https://share.streamlit.io/panditpranav/svm_covid_tracking/main/COVID_app.py,PanditPranav/SVM_COVID_tracking,sci-tech,True,https://github.com/PanditPranav/SVM_COVID_tracking,,2020-06-14 02:48:44,2021-03-01 19:21:21,2020-11-28 21:09:38,8.0,,1.0,6.0,54.0,,,,COVID Tracking app for data in Northern California.,,,3.0,7,2,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fb670b335879e9b9f2e71be_covid.jpg,,,,,
82,Player,https://share.streamlit.io/okld/streamlit-player-demo/main/app.py,okld/streamlit-player,extension,True,https://github.com/okld/streamlit-player,MIT,2020-12-10 17:02:22,2020-12-17 19:22:59,2020-12-17 18:57:35,2.0,1.0,,6.0,,,,,A streamlit component to embed video and music players from various websites.,5.0,5.0,,6,3,https://raw.githubusercontent.com/okld/streamlit-player-demo/main/app.png,,,,,
83,Plant Disease Detection,https://bot-beats-ml-app.herokuapp.com/,AmeyaUpalanchi/streamlit-tensorflow-ml-app,cv,True,https://github.com/AmeyaUpalanchi/streamlit-tensorflow-ml-app,MIT,2020-08-18 10:10:36,2020-10-28 11:44:20,2020-10-28 11:44:19,1.0,,1.0,5.0,25.0,,,,Web App for Plant Disease Detection using Tensorflow and streamlit.,,,,7,3,,,,,,
84,COVID-19 in Italy,https://covid19-portal.herokuapp.com/,francesconazzaro/covid19-portal,sci-tech,True,https://github.com/francesconazzaro/covid19-portal,,2020-10-28 09:22:26,2021-04-23 19:07:56,2021-04-23 08:12:41,1.0,,,4.0,251.0,,,,Analyse data for COVID-19 vaccines administrations and COVID-19 infections in Italy.,,,2.0,6,3,https://github.com/francesconazzaro/covid19-portal/raw/master/resources/covid19-hires.gif,,,,,
85,Deep Dream,https://github.com/streamlit/demo-deepdream,streamlit/demo-deepdream,demo,True,https://github.com/streamlit/demo-deepdream,Apache-2.0,2020-10-02 23:36:34,2020-10-02 23:37:42,2020-09-26 00:31:54,5.0,,,3.0,19.0,,,,A Streamlit demo demonstrating the Deep Dream technique. Adapted from the TensorFlow Deep Dream tutorial.,,,,7,3,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5ede25309928736fdf811d24_5e1115355aa398cf5ffd5c4e_deep_dream_website_large.gif,,,,,
